indice,titulo,identificador,estado_metadatos,cant_errores,cant_distribuciones
0,Aeródromos del Sistema Nacional de Aeropuertos (SNA),b6fca19c-6547-4530-827a-43e9e21cf031,ERROR,1,3
1,Datos de contacto AMEs y CMAEs,4fb8806c-dbda-47e7-9851-23e9981aa0de,ERROR,1,4
2,Centros de Instrucción de Aeronáutica Civil (CIAC),f026ae26-08e0-4676-9288-34b3a37e0691,OK,0,2
3,Aeródromos,44be27bc-fd62-491b-b609-ad39ce833ab7,ERROR,1,2
4,Helipuertos,89d80799-a371-4aa0-a085-4a09677e7ddc,OK,0,2
5,Audiencia Pública 219,34fbecae-0abb-48e1-a307-b5e7b593bcdf,OK,0,2
