indice,titulo,identificador,estado_metadatos,cant_errores,cant_distribuciones
0,Asignación Salarial de las Autoridades Superiores del Poder Ejecutivo Nacional,431381cc-3c5b-49ba-bf77-47bf658cd640,OK,0,2
1,Registro Central de Personas Contratadas,becaceb2-dbd0-4879-93bd-5f02bd3b8ca2,OK,0,1
2,Estructura Orgánica y Autoridades del Poder Ejecutivo Nacional,ad5b0e15-a9ed-40d5-9827-33a0ece12433,OK,0,2
3,Puntos Digitales,7c1a3943-eb36-4871-88cb-e5c053cb4215,OK,0,1
4,Sistema de Contrataciones Electrónicas  (Argentina Compra),069b5833-e57d-4d7a-859b-67a80cfdff20,OK,0,9
5,Planes de Apertura de Datos,43c2e6ae-f0a7-4688-b5aa-2aa6f4811a9c,OK,0,1
6,Base de Series de Tiempo de la Administración Pública Nacional,1,OK,0,16
