indice,titulo,identificador,estado_metadatos,cant_errores,cant_distribuciones
65,Geología Climatología Curvas de Nivel IGN,915c306b-e1c4-42e1-ae10-bc1285e7e72c,ERROR,1,2
66,Geología Climatología Isobatas,2dddc76d-1b55-4076-883a-cbc38546b9d2,ERROR,1,2
67,Geología - Yacimientos Minerales,ac7f614e-622e-43d1-b480-7af68ef9d881,ERROR,1,2
68,GLP - Paridad de Exportación de referencia,6cc59d1d-811d-40ae-a6a9-89735dc6af1e,OK,0,1
69,GLP: Distancia de áreas urbanas a depósitos y fraccionadoras,b2b9f9b2-0282-4c84-b815-a2366326f92f,ERROR,1,3
70,GLP - Parque de envases hábiles de 10 y 15 Kg. de capacidad,e3de3fc1-c140-44b4-a5da-1c0e54ba8a03,ERROR,1,1
71,Historia del Alumbrado,e785b4af-59eb-4969-a393-522098479571,ERROR,1,1
72,Análisis de cambio de huso horario en Argentina,335937f7-87c7-47aa-bbf6-ea67a309e568,OK,0,1
73,Importaciones en el marco del régimen de inversiones mineras,0b2c26b8-7919-4ac6-8ffe-7f911b26fe58,OK,0,1
74,Importaciones mineras por rubro,847259dd-c788-463d-ac89-edad029dd767,OK,0,1
75,Impuestos sobre las tarifas eléctricas a usuario final de Cooperativas Eléctricas de Bs. As,b73a7255-b413-4a9f-a7b0-0db70782583a,OK,0,1
76,Impuestos y Subsidios sobre Tarifas Eléctricas a Usuario Final,baba3db6-7438-46b3-a02f-7ee80e9e9a8b,OK,0,2
77,Indicadores de Calidad,428d6da4-2258-44e2-b68e-8f08cee73a13,OK,0,1
78,Información Socioeconómica Áreas Urbanas Según Calles OSM,0761fc22-bb12-4b6b-8d87-c71ce3e52e02,ERROR,1,2
79,Información Socioeconómica Asentamientos y Villas ONG Techo,1c58835a-4590-41e1-9ba2-5a41fd6da0d1,ERROR,1,2
80,Información Socioeconómica Asentamientos y Villas Wikimapia,8eba1cb4-37d4-4533-8f34-a8e48c2fe1af,ERROR,1,2
81,Información Socioeconómica Ejidos Urbanos,bfbe9495-7ec1-4198-9c93-8da043582481,ERROR,1,2
