indice,titulo,identificador,estado_metadatos,cant_errores,cant_distribuciones
0,Adultos Mayores,61d0928e-30b2-4b97-a674-62338949dcba,OK,0,2
1,Abordaje territorial,2741333b-292e-402a-aa25-f63f0838a7bf,OK,0,2
2,Centros de Referencia,9d57124c-a6af-4f53-8a34-4aecce6fee91,OK,0,2
3,Plan para la Economía Popular,946ea291-d57b-4c11-962e-a0015836baa6,OK,0,2
4,Estrategia Nacional para Adolescentes y Jóvenes Vulnerables,65acfc50-2c36-4f96-924b-0fd2305cc0c9,OK,0,2
5,El Estado en tu Barrio y Tren Argentino,e574360e-6377-446c-a034-7000cf6619eb,OK,0,2
6,Participación Ciudadana,af5ece35-e3ef-49d7-81d4-99000f9c3ef0,OK,0,2
7,Plan nacional de primera infancia,a3eb5de1-5e2f-4a8e-9c36-a546e39165a2,OK,0,2
8,Programa ProHuerta,486d58b7-1be8-4b16-a5fe-01f31201c9d7,OK,0,1
