indice,titulo,identificador,estado_metadatos,cant_errores,cant_distribuciones
47,Producto Interno Bruto Subtotal Pecuario en millones de pesos de 1970,31064188-bf2b-4aa1-8e81-a996a87c7f70,ERROR,1,1
48,"Producto Interno Bruto Transporte, Almacenamiento y Comunicaciones en millones de pesos de 1970",3397a1e6-4479-4971-948f-6db7bbf4b538,ERROR,1,1
49,"Producto Interno Bruto Establecimientos Financieros, Seguros y Bienes Inmuebles en millones de pesos de 1970",51169f14-3bc5-4d15-ac50-598d5e4ab913,ERROR,1,1
50,"Producto Interno Bruto Servicios Comunales, Sociales y Personales en millones de pesos de 1970",66b2e295-148d-44eb-9d02-b3174ca6bb80,ERROR,1,1
51,Oferta y Demanda Global Externa en millones de pesos de 1970,b2edecdd-8710-49ea-815f-18474c05616d,ERROR,1,1
52,"Producto Interno Bruto Electricidad, Gas y Agua en millones de pesos de 1970",dc694d9a-dd36-48ab-a62f-033b4ba583b6,ERROR,1,1
53,Producto Interno Bruto Construcciones en millones de pesos de 1970,536d9b83-c118-4fc2-902f-21712aea118a,ERROR,1,1
54,Producto Interno Bruto Explotación Minas y Canteras en millones de pesos de 1960,26d9f672-314f-40a6-b063-0bc67a752317,ERROR,1,1
55,Producto Interno Bruto Mercaderías y Servicios Disponibles en millones de pesos de 1960,311953ba-059e-479a-aa5c-fb0563075bce,ERROR,1,1
56,Oferta y Demanda Global Externa en australes a precios de 1970,30c2929d-d2ec-4264-86d3-63f5e243fe85,ERROR,1,1
57,"Producto Interno Bruto Transporte, Almacenamiento y Comunicaciones en australes a precios de 1970",f3ac4d56-6053-4c9d-8b03-18fa44734e01,ERROR,1,1
58,Producto Interno Bruto Subtotal Pecuario en australes a precios de 1970,f5062199-fc84-471d-95da-ddb859fd015d,ERROR,1,1
59,Producto Interno Bruto Subtotal Agrícola en australes a precios de 1970,427f1ea3-f6a0-45fe-8a99-01d27d380e1c,ERROR,1,1
60,"Producto Interno Bruto Servicios Comunales, Sociales y Personales en australes a precios de 1970",9b3b1473-00aa-4f44-9b53-b534d8a9dfb9,ERROR,1,1
61,Producto Interno Bruto Mercaderías y Servicios Disponibles en australes a precios de 1970,32c27a10-20fc-4534-93e6-f619df5194d2,ERROR,1,1
62,Producto Interno Bruto Explotación Minas y Canteras en australes a precios de 1970,839e9d75-75bb-4523-aca5-c2f56934a5de,ERROR,1,1
